"filename", "language", "YAML", "Python", "Ignore", "Markdown", "Docker", "pip requirements", "JavaScript", "XML", "CSS", "JavaScript JSX", "JSON", "HTML", "comment", "blank", "total"
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/place.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/services_nav.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/sm_arrow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/spark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/unliked.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/assets/user_nav.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/Bills.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 8, 67
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/Bills.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 2, 61
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/Buildings.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 1, 4, 43
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/Buildings.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 2, 41
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/Buttons.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 2, 33
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/Buttons.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 3, 25
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/Discussions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/Header.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 1, 4, 34
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/HomeInfo.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 14, 131
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/HomeInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 4, 69
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/Neighbours.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 4, 44
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/Neighbours.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/Services.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 9, 62
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/Services.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 2, 41
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/Stories.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 10, 90
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/Stories.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 6, 120
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/TextPill.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Home/TextPill.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Profile/Accounting.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 5, 39
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Profile/Accounting.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Profile/InfoContainer.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 7, 53
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Profile/InfoContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 3, 38
